,s1,s2,similarity,Gianluca,Surya,Costanza,SCALE
145,The most common thing I hear is that it's caused by anxiety or the medicine to treat it. Can you block out the vibrations or is it always there?,The most common thing I hear is that it's caused by something emotional or the treatment for it. Can you block out the vibrations or is it always there?,0.9739426970481873,4,4,5,"5: Highly identical and specific
The text mirrors the original with precise details, including exact terms, concepts, or events."
157,Symptoms of anaphylaxis typically start within 5 to 30 minutes of coming into contact with the allergen to which you are allergic.,Symptoms of severe allergic reactions typically start within minutes of exposure.,0.7527112364768982,5,5,4,"4: Mostly similar with minor differences
The text conveys most key information, but lacks some specificity, such as descriptive details. The core meaning remains intact."
186,"It's not the same colour as jaundice, which in photos I've seen looks more yellowish. Also my eyes are not pigmented.",It's different from what I've seen in photos of certain conditions with a yellowish tone. My eyes look normal.,0.779288113117218,3,4,4,"3: General but clear similarity
The text captures a general but clear similarity, with nonspecific references to the main ideas or concepts from the original text."
15,"i have a right cervical rib quite high up, since February of this year i have been unable to sleep on a pillow turn my neck completely to the right without feeling an extreme tight neck jammed feeling,","Since early this year, I have experienced difficulty sleeping comfortably and turning my neck to the right without discomfort.",0.7221978306770325,3,3,4,"2: Vague similarity
The text provides a vague similarity, hinting at the general idea without clearly referencing the core aspects of the original text."
117,"For example, they know (to a high degree of of accuracy) that X% of their population is going to be on blood pressure medication and how many of the major blood pressure meds will need to be prescribed for the number of people who live in their country.","For example, they know (to a high degree of accuracy) what percentage of their population is likely to require certain medications and how many will need to be available for their residents.",0.8120073676109314,4,4,4,"1: Very indirect or ambiguous similarity
The text contains only vague or indirect references to the original content."
100,I have the same symptoms you describe and often get episodes very similar to panic attacks indeed they did turn into panic attacks I dealt with them for so long with my GP telling me it was all anxiety,"I experience something very similar to what you've described and found it challenging, as it felt akin to panic episodes. Over time, I managed these feelings with the help of my doctor, who suggested they were anxiety-related.",0.732816219329834,3,5,5,"0: No similarity
The text does not reflect any of the original content."
208,And it's really difficult for me too to cope up with life when small thing makes me feel that its end of life!,And it's really difficult for me too to cope with life when small things feel overwhelming!,0.8334315419197083,5,4,4,
9,I also saw my Ent who stated that I had a eustachian tube dysfunction however the ear symptoms should have gotten better already . I am now scheduled for an Mri of head focusing on my temporal bone to see if this is a middle ear issue .,"I spoke with a specialist who mentioned there might be an issue related to my ear, but the symptoms should have improved by now. I'm now undergoing further tests to explore the issue more deeply.",0.6856726408004761,4,4,4,
41,Like you guys I tried everything and anything and couldn't figure out WTF this was. My G.P. gave me steroidal cream (daktocort) twice to apply. No good. I then went to him the third time and he suggested that I should try some Daktocort I said enough of this clown.,"Like you guys I tried everything and anything and couldn't figure out WTF this was. I received a cream to apply but it was no good. By the third visit, I had enough of this suggestion.",0.6684538722038269,4,3,3,
104,Thank you for the epson salt suggestion. could not sleep because my itching was so bad.,Thank you for the Epsom salt suggestion. It really helped me relax.,0.7670272588729858,3,3,4,
163,"It is puzzling us that he will be taking additional steroids at a time when he's trying to taper down. Also, I thought hydrocortisone was a topical treatment.. something to put on the skin, or inject..?","It is puzzling to us that there are changes in his medication routine. Also, I thought hydrocortisone was used on the skin or as an injection.",0.8093201518058777,3,3,3,
