,Instance,explanation,sens_score,sens_info,sens_score_reph,rephrased
0," The vast majority of the specialists whom we alluded, thought that it was inconsequential to try and start my treatment.","The original text suggests that the author was seeking treatment for a condition. By changing 'start my treatment' to 'proceed with the suggested steps,' the text becomes less sensitive as it removes direct reference to the author pursuing medical treatment while maintaining the message that specialists' advice seemed unnecessary.",3,Start of the treatment implies the author might have a medical condition or is seeking medical advice.,1,The vast majority of the specialists we consulted thought it wasn't necessary to proceed with the suggested steps.
1,"My vibrations feel like in my spine. I only feel it at night, not sure if I'm missing it during the day because im so busy or what. I've been given a sleeping pill which keeps me from waking up from them.","The original text contains explicit information about bodily sensations localized to the spine and the use of a sleeping pill, which could be considered sensitive as they relate to specific medical symptoms and treatment. In the rephrased version, these details are generalized to 'sensations' and 'a way to ensure they don't disturb my sleep,' removing the specific information about the spine vibrations and medication while maintaining the overall message.",5,"['Vibrations in spine', 'Feeling it at night', 'Given a sleeping pill']",4,"I experience sensations that I notice mostly at night, perhaps because I'm less occupied then. I've been provided a way to ensure they don't disturb my sleep."
2,Due to this I had a hysterectomy. I react terrible to heat and since I have had this condition it has ruined my quality of life including my job. I'm due to have a biopsy on the bowel next week but who knows what the outcome is. ,The rephrased version removes specific details about medical procedures (hysterectomy and bowel biopsy) and symptoms (reaction to heat) while acknowledging the impact on quality of life. This makes the post less sensitive by keeping health references more general and less specific to particular medical conditions or events.,5,"['hysterectomy', 'negative reaction to heat', 'condition affecting quality of life and job', 'upcoming bowel biopsy']",2,"As a result of my health situation, I've faced challenges that have impacted my life in various ways. I have an upcoming medical procedure and will be waiting to see the results."
3,"I am taking biotin pills, I started washing my hair less, and even using oils!","The original text reveals specific actions related to the author's personal health routine, such as taking supplements and altering hair care habits. The rephrased version omits these specifics, making it less sensitive while maintaining the essence of discussing changes in hair care routine.",3,"Taking biotin pills, changed hair washing frequency and using oils.",0,I've made some changes to my hair care routine recently!
4,"About 25 years ago, I skipped the vaccine and had a very bad case of it which took close to two weeks to recover","The original text disclosed that the author skipped a vaccine, had a severe case of an illness, and the duration of recovery. These specific details were generalized to 'experienced a significant health issue' and 'took some time to recover' to maintain privacy while preserving the narrative of having a past health event and recovery period.",5,"['Skipped the vaccine.', 'Had a very bad case of it.', 'Took close to two weeks to recover.']",1,"About 25 years ago, I experienced a significant health issue that took some time to recover from."
5,I've noticed marked improvement based on this dose alone; the catch being real bad nausea but I'd rather vomit my soul out than have one more day of constant fire ants all over my body. ,"In the rephrased version, the specific medical improvement ('marked improvement based on this dose alone') and the metaphor describing a symptom ('constant fire ants all over my body') have been made more general to avoid disclosure of specific health details. Additionally, 'real bad nausea' is described in a less specific way to reduce the sensitivity of the health information disclosed while maintaining the overall sentiment and message of the original text.",5,"['marked improvement based on this dose alone', 'real bad nausea', 'constant fire ants all over my body']",1,"I've experienced some positive changes recently, though it comes with some strong nausea. Nevertheless, it's preferable to the persistent discomfort I had before."
6,"As long as the alcohol and prescription meds keep coming, indefinitely. I'm no quitter.",The original mention of 'prescription meds' and 'alcohol' is removed to avoid suggesting specific substances related to health-sensitive situations. This lessens the sensitivity by generalizing the statement.,5,"Use of prescription meds, potential substance abuse implication.",0,"As long as the good times keep rolling, indefinitely. I'm no quitter."
7,Fortunately we got pregnant really quickly but then I miscarried at 13 weeks and many more miscarriages followed,"The original text included specific details about pregnancy and miscarriages, which are sensitive health-related topics. The rephrased version generalizes the experience by referring to 'challenges,' effectively removing explicit sensitive details while maintaining the overall communication of an initial positive experience followed by difficulties.",5,"['pregnant really quickly', 'miscarried at 13 weeks', 'many more miscarriages']",0,"Fortunately, things seemed to go well initially, but then there were some challenges along the way."
8,"Hello everyone I was diagnosed with acute inflammation of the liver but the doctor said I am 99% better now... But for almost a month now I go to stool almost 4 times a day and my stool is really watery, I also have a sort of discomfort around the  upper right corner of my tummy around my ribs  and my tummy feels really big most times... Please I want to know if this is normal in recovery or it's something else and I play football is it OK to go back to training with this.. Thank you","The rephrased version removes specific medical details like the diagnosis of acute liver inflammation and particular symptoms, such as watery stool, stool frequency, and abdominal discomfort, which are health-sensitive. General terms like 'health challenge' and 'digestive changes' retain the message but are less specific and sensitive.",5,"Diagnosed with acute inflammation of the liver, stool frequency and consistency, discomfort around the upper right corner of the tummy, feeling of a big tummy.",3,"Hello everyone, I've been through a health challenge, but my doctor said I’m almost fully recovered. Since then, I've noticed some digestive changes and a bit of discomfort in my abdomen. My question is, are these feelings a common part of recovery? Also, I love playing football. Is it okay to resume training now? Thank you."
9,I also saw my Ent who stated that I had a eustachian tube dysfunction however the ear symptoms should have gotten better already . I am now scheduled for an Mri of head focusing on my temporal bone to see if this is a middle ear issue .,"The rephrased text removes specific medical diagnosis and the exact type of medical test planned, making the information less sensitive while still conveying the message that the individual is seeking further medical evaluation for an ear-related concern.",5,"['Eustachian tube dysfunction diagnosis', 'Scheduled MRI of head focusing on the temporal bone']",3,"I spoke with a specialist who mentioned there might be an issue related to my ear, but the symptoms should have improved by now. I'm now undergoing further tests to explore the issue more deeply."
10,I also developed bleeding gums and diffuse itch in the mouth whenever I eat too much of the Solanacea family.  But of course the vagina and vulvar have the most mucous membranes and I got the most pain there. ,"The rephrased version removes direct references to specific symptoms and sensitive body areas, instead mentioning general 'discomfort and issues' to broadly indicate some sensitivity without specifying medical details. This reduces the specificity of the health concerns mentioned.",4,"['Bleeding gums and diffuse itch in the mouth whenever consuming the Solanacea family.', 'Pain in the vagina and vulvar areas due to mucous membranes.']",2,"I've noticed discomfort and some issues after eating certain foods, with more prominent effects in specific sensitive areas."
11,"And now i prepare to be dismissed as overly melodramatic, mentally unstable, ignorant or unintelligant.",,0,,0,
12,"name_token, thank you for this.  I did get down to 7mg but started to experience terrible pain and abject exhaustion.  I went back to 9mg and for the first few days felt a lot better but since have been very tired and very painful.  I will not go up any further.  Have also been suffering with some bad intestinal problems.  Anyone else had this?  Boy I am sick of whining.  It is not me.  Wouldn’t it be great if we could have a huge meeting in one of our countries where we could all get together and talk about it then have fun.  I’m sick and tired of being sick and tired and I want fun!  Anyone else?","I removed specific information about medication dosages and specific symptoms, as these are considered sensitive health details. The rephrased version keeps the focus on the emotional experience without detailing personal health information, making it less sensitive.",5,"['Got down to 7mg and experienced terrible pain and abject exhaustion.', 'Went back to 9mg and felt better but still very tired and in pain.', 'Suffering with some bad intestinal problems.']",1,"name_token, thank you for this. I tried making some changes but started to feel really unwell. I adjusted things slightly and initially felt better, but lately, I've been feeling exhausted and uncomfortable again. Does anyone else feel this way? I'm tired of feeling down. Wouldn't it be great if we could have a huge meeting somewhere where we all could connect and have fun? I'm really ready for some fun! Anyone else?"
13,"Got another visit booked for a month later just to check up. (Note: I get a lot of allergies like hayfever, dust, etc)","The original text included details about the author's allergies, which is sensitive health-related information. By removing the specific mention of allergies, the text is sanitized while maintaining its original content about the upcoming visit.",4,"I get a lot of allergies like hayfever, dust, etc.",0,Got another visit booked for a month later just to check up.
14,"I have had the exact same symptoms for over a week now. I am sitting here with a babies head under my right rib, after a meal my stomach swells up and there is a tightness down my right side. Saw my Doctor who told me to take pain killers and buscopan, but to come back in a couple of weeks if it was no better for blood tests. I am in menopause, have ibs and was a carer who constantly pulled patients up the bed so was interested to read the person who said about chiropractors. Any more info from anyone about this odd condition would be very welcome.","The rephrased version removes specific medical details such as the mentioned symptoms, specific medications, and existing conditions. It instead uses more generalized language when describing the health experience. This makes the information less identifiable and personal without losing the original intent of seeking advice.",5,"Specific symptoms (babies head under right rib, stomach swelling, tightness on right side), doctor's recommendation (pain killers, buscopan, potential blood tests), menopause, IBS, previous occupation-related physical strain.",3,"I've been experiencing some unusual discomfort for over a week. After eating, I notice a swelling and sense of tightness on one side. I consulted a doctor who offered some treatment suggestions but recommended further tests if things don't improve. I'm curious to hear if anyone else has dealt with something similar and found helpful advice."
15,"Unfortunately i also started having covid 19 symptoms about 4 weeks and felt dreadful the first 2 weeks, dry cough, tiredness, body pain, shortness of breath.","The original text specifically disclosed symptoms related to COVID-19, including a timeline and specific symptoms experienced. The rephrased version generalizes the symptoms to remove specific health condition references while maintaining the original message about feeling unwell.",5,"Started having COVID-19 symptoms about 4 weeks ago, felt dreadful the first 2 weeks, dry cough, tiredness, body pain, shortness of breath.",2,"Unfortunately, I started experiencing some symptoms a few weeks ago and felt quite unwell for the first couple of weeks."
16,"i have a right cervical rib quite high up, since February of this year i have been unable to sleep on a pillow turn my neck completely to the right without feeling an extreme tight neck jammed feeling,","The rephrased text removes specific medical details such as the mention of a 'right cervical rib' and the exact timeframe 'since February,' instead generalizing the experience to 'early this year' to obscure precise health conditions and symptoms. This reduces the sensitivity by lessening the degree of specificity about a medical condition while retaining the overall description of discomfort.",5,"Presence of a right cervical rib, inability to sleep on a pillow, limited neck movement to the right, extreme tight neck feeling since February.",3,"Since early this year, I have experienced difficulty sleeping comfortably and turning my neck to the right without discomfort."
